text,author
"Не может быть, чтобы ее мог так обворожить камер-юнкер.",Gogol
Не знаю.,Chekhov
А замахиваться руками не.,Dostoevsky
"– Кто старое помянет, тому глаз вон.",Chekhov
"Когда в городе в приказчиках служил, я видал… Одна барыня пила.",Chekhov
"И так налег, что она всё больше и больше начала умолкать.",Dostoevsky
"Видите, я совершенно с вами откровенен..     – Шатова?",Dostoevsky
"Меня отсюда тотчас бы выгнали, да и она сама не пойдет; а если предложить ей увоз, побег, то она тотчас пойдет.",Dostoevsky
"Будем рассуждать, мой друг.",Tolstoy
"Откуда вам известно об этом предложении, щуренька?",Chekhov
"Смотрела она на меня слишком любопытно, точно ей хотелось, чтоб и.   я ее тоже очень заметил как можно больше.",Dostoevsky
"Ведь уж чего бы кажется противуположнее, как Петербург с Москвой, если судить по теории, в принципе: Петербург-то и основался как бы в противуположность Москве и всей ее идее.",Dostoevsky
"Чего ж я жду?""",Tolstoy
Пойду… Только помни!,Chekhov
Ведь.,Dostoevsky
"прибавил он, продолжая так же улыбаться..    Я молча стала подле него, и на душе у меня становилось спокойнее..      Не будем стараться повторять жизнь,   продолжал он,   не будем лгать сами перед собою.",Tolstoy
"Услышат тетеньки,   говорили ее уста, а все существо говорило: ""Я вся твоя""..    И это только понимал Нехлюдов..      Ну, на минутку отвори.",Tolstoy
"Часу этак в первом ночи… днем припадков не бывает… вдруг в голове начинается шум: жжж… Я теряю сознание, вскакиваю и начинаю бросать в домашних чем попало.",Chekhov
"- Макар Иванович, вы опять употребили слово ""благообразие"", а я как раз.",Dostoevsky
– Дьявола в вывороченном тулупе.,Gogol
Глядь – дед.,Gogol
"– вскричал, испугавшись, Иван Федорович.",Gogol
"Наконец вдруг вскрикнул: «О Боже!» – и, закрыв руками лицо, бросился вон из комнаты.",Dostoevsky
Человек специальный.,Chekhov
"Я его нынче чаем поила   что ж, хоть и чужой, все надо жалость иметь,   так уж не пил почти..      Как ты себя чувствуешь?",Tolstoy
их давно бы пора убрать отсюда.,Gogol
"Покамест они поднесли кулаки протереть их, мертвеца и след пропал, так что они не знали даже, был ли он, точно, в их руках.",Gogol
Старая это.,Dostoevsky
"Господин Голядкин немного надулся.. — Я вам скажу, господа, по-дружески, — сказал немного помолчав, наш герой, как будто (так уж и быть) решившись открыть что-то чиновникам, — вы, господа, все меня знаете, но до сих пор знали только с одной стороны.",Dostoevsky
Голос ямщика.,Gogol
"Первым движением она отдернула свою руку от его влажной, с большими надутыми жилами руки, которая искала ее; но, видимо сделав над собой усилие, пожала его руку.. .",Tolstoy
Чертовски хорошенькая!,Chekhov
"Посмотрите, на кого она похожа!",Tolstoy
– усмехнулась Лида.,Chekhov
"Так говорил дядя, действительный статский советник.",Gogol
несут!,Gogol
"Он поспешно, туша ее, смял докуренную папиросу в пепельницу, закурил другую и стал ходить взад и вперед по комнате.",Tolstoy
"На Дворянскую,   отвечал он извозчику,   тридцать копеек, никогда больше не плачу..      Ваше превосходительство, пожалуйте..      Мое почтение.",Tolstoy
"Ежели такая, что по целым дням стрекозит да зудит?..",Chekhov
– сказал дед и с досады хватил кулаком что силы по столу.,Gogol
"– Ну, так можешь за меня и проиграть, – сказал Вронский, смеясь.",Tolstoy
"Он, может быть, ушел потому, что он очень честный и ему не понравилось, что я как будто обманывала.",Dostoevsky
"И казалось, что еще немного – и решение будет найдено, и тогда начнется новая, прекрасная жизнь; и обоим было ясно, что до конца еще далеко-далеко и что самое сложное и трудное только еще начинается.. 1899",Chekhov
"Прежде, бывало, я мог согнуть и разогнуть в одной руке медный пятак и лошадиную подкову; а теперь мешков с углем не подыму.",Gogol
Целую тебя и кланяюсь.,Chekhov
Вижу – сам всему виной!,Gogol
"Но ведь нельзя же было совсем молчать, ведь нельзя же было не говорить вовсе!",Dostoevsky
…разбили при Голлабрунне… — При Голлабрунне Наполеон не одержал победы над русскими войсками.,Tolstoy
"– Прекрасно, великолепно!",Dostoevsky
Ведь татарин близко — услышит.,Tolstoy
Во рту нащупывает он зуб на старом месте.. – Тянул!,Chekhov
"Бабушка в первый раз после кончины maman пьет шампанское, выпивает целый бокал, поздравляя Володю, и снова плачет от радости, глядя на него.",Tolstoy
"Жалко ему стало брата, и проговорил он тут же:.",Gogol
"Впрочем, не угодно ли прочесть и показать другим; это только для сведения..     Он вынул из кармана анонимное письмо Лебядкина к Лембке и передал Липутину.",Dostoevsky
А вот еще лодка: сидит в ней толстый китаец и ест палочками рис.,Chekhov
"А покорнейше благодарю, сударь.",Gogol
- Вот попался-то.,Tolstoy
"Милостивый государь мой, Петр Иваныч!.",Dostoevsky
Что вы сказали?,Chekhov
"Его рыжая, которую он выгнал, не пропала, а стала великаном.",Chekhov
"Такой господин так и прет прямо к цели, как взбесившийся бык, наклонив вниз рога, и только разве стена его останавливает.",Dostoevsky
"Приятность, ожидавшая его впереди при свидании с Солохою, умаливала немного боль и делала нечувствительным и самый мороз, который трещал по всем улицам, не заглушаемый вьюжным свистом.",Gogol
"– Скажи, пожалуйста, – с такими словами она приступила к нему, – ты не свихнул еще с последнего ума?",Gogol
"– Но не вы ли говорили мне, что если бы математически доказали вам, что истина вне Христа, то вы бы согласились лучше остаться со Христом, нежели с истиной?",Dostoevsky
"— бормотал Путохин, возвращаясь домой после объяснения с начальством.",Chekhov
"Хоть бы вы-то уж теперь помолчали-с,   прошипела Перепелицына, злобно сверкнув своими змеиными глазками..      Где я?",Dostoevsky
"Монах сквозь зубы пробормотал какое-то заклинание.. — Где собака, которая бежала сейчас впереди меня?",Chekhov
"Ей приснились две большие черные собаки с клочьями прошлогодней шерсти на бедрах и на боках; они из большой лохани с жадностью ели помои, от которых шел белый пар и очень вкусный запах; изредка они оглядывались на Тетку, скалили зубы и ворчали: «А тебе мы не дадим!» Но из дому выбежал мужик в шубе и прогнал их кнутом; тогда Тетка подошла к лохани и стала кушать, но, как только мужик ушел за ворота, обе черные собаки с ревом бросились на нее, и вдруг опять раздался пронзительный крик..     — К-ге!",Chekhov
"Зина плакала и безмолвно сжимала его руки, как будто хотела этим остановить его..    – Что ты плачешь, мой ангел?",Dostoevsky
"Однако, и в самом деле, не зайти ль к Вахрамееву?",Dostoevsky
"Помещики прыснули.. — Первый раз в жизни ее голос слышу… Нечего сказать, голосок!",Chekhov
"Люди - злые языки, но это ничтожно… Cher.",Dostoevsky
"быть, слишком ярким нарушением  общепринятых  и  оказенившихся  приличий,  -.",Dostoevsky
"Так проводили жизнь два обитателя мирного уголка, которые нежданно, как из окошка, выглянули в конце нашей поэмы, выглянули для того, чтобы отвечать скромно на обвиненье со стороны некоторых горячих патриотов, до времени покойно занимающихся какой-нибудь философией или приращениями на счет сумм нежно любимого ими отечества, думающих не о том, чтобы не делать дурного, а о том, чтобы только не говорили, что они делают дурное.",Gogol
"На погосте в старой церкви ударили полночь.. — Пора спать, — сказала Софья, вставая, — а то как бы Дюдя не хватился.. Обе тихо пошли во двор.. — Я ушла и не слыхала, что он после про Машеньку рассказывал, — сказала Варвара, постилая под окном.. — Померла, говорит, в остроге.",Chekhov
"Лицо его имело изможденный и измученный вид, несмотря на то, что он был до крайности разгорячен..      – Я начинаю вас понимать, Дмитрий Федорович, – мягко и даже как бы сострадательно протянул прокурор, – но все это, воля ваша, по-моему, лишь нервы… болезненные нервы ваши, вот что-с.",Dostoevsky
крикнул Каменев казаку.,Tolstoy
"Она поднялась на высокую ступеньку и села одна в купе на пружинный испачканный, когда-то белый диван.",Tolstoy
"Надень-ка, брат Елдырин, на меня пальто… Что-то ветром подуло… Знобит… Ты отведешь ее к генералу и спросишь там.",Chekhov
"После долгой перебранки, капризничанья и попреков приходят к решению, что стоять должен горбач, как самый маленький.. — Ну, погоняй!",Chekhov
"- Убью, не подходи, варвар!",Tolstoy
"– Не знаю..      – Вот у меня одна книга, я читала про какой-то где-то суд, и что жид четырехлетнему мальчику сначала все пальчики обрезал на обеих ручках, а потом распял на стене, прибил гвоздями и распял, а потом на суде сказал, что мальчик умер скоро, чрез четыре часа.",Dostoevsky
— Да помоги же мне!,Chekhov
"– И это потому смешно-с, – с радостью перебил вдруг белокурый юноша, рассказавший про манишку и на которого сотрудник в белом жилете посмотрел за это с ненавистью, – потому смешно, ваше превосходительство, что сочинителем полагается, будто бы господин Краевский правописания не знает и думает, что «обличительную литературу» надобно писать абличительная литература… .",Dostoevsky
"Он испытывал это часто, разговаривая со своим добродушнейшим поверенным.",Tolstoy
"— Тут не такое заведение, чтобы можно было убежать; да и дороги для пешехода плохи.",Gogol
"Он слышал только ее слова и придавал им только тот прямой смысл, который они имели.",Tolstoy
"житья нет от ней!» Несколько раз, скрепя свое сердце, хотел он приняться за строгость.",Gogol
"(к несчастию, истинный поэт наш) если бы вы не подходили к народу с вашими восторгами, про которые.",Dostoevsky
"– подошла вдруг Варвара Петровна, вся желтая, с искривившимся лицом, со вздрагивающими губами..     – То есть, видите ли-с, если тут чего-нибудь я не понял, – как бы испугался и еще пуще заторопился Петр Степанович, – то виноват, разумеется, он, что так пишет.",Dostoevsky
Середины тут нет.,Chekhov
Далее следует пластически вычурное толкование о душевной выносливости автора.,Chekhov
Отвечай.,Gogol
Потому что Смердяков человек нижайшей натуры и трус.,Dostoevsky
"Вы познакомились с Надеждой Николаевной и стали ездить к мировому чуть ли не каждый день… Бывало, когда ни придешь, вы вечно там… Прием оказывался вам самый радушный.",Chekhov
"— оттого, что мое взяло; а будь хоть немножко на твоей стороне, так ты бы меня, каналья, втоптал по самую грязь, еще бы и бревном сверху навалил.",Gogol
"довольно, если пойдут в пятидесяти.. – Нет, что ж за куш пятьдесят?",Gogol
"Провожаемый вестовым, Нехлюдов вышел опять на темный двор, тускло освещаемый красно горевшими фонарями..      Куда?",Tolstoy
"Да, я «романтик», он это подметил… хоть это и клевета.",Dostoevsky
"Так, бесспорно, было с древним Римом, так потом было с Римом в католическое время его существования.",Dostoevsky
"Ты, брат, пожалуйста, извини.",Dostoevsky
"У Ихменевых ложились спать рано, в одиннадцать часов.",Dostoevsky
Разве не дурак?,Chekhov
"А когда он умер, она, два года тому назад, воротилась назад к отцу.",Dostoevsky
