text,author
"– Право, я все не приберу, как мне быть; лучше я вам пеньку продам.. – Да что ж пенька?",Gogol
"«Нет ни ничтожного, ни важного, всё равно: только бы спастись от нее как умею»!",Tolstoy
Я доложу смотрителю.. – Пожалуйста.,Chekhov
"Oh, sans doute, c'est la plus charmante femme du monde, — сказала Анна Павловна с улыбкой над своей восторженностью.",Tolstoy
"– Нет, брат, извини....     – Ну, так и убирайся, без четверти девять, а ты спесив.",Dostoevsky
хе-хе!,Dostoevsky
"Разумеется, они мне не дадут покоя, если станут  подозревать,  но...  пусть!.",Dostoevsky
"При мне по крайней мере он ничего не говорил, никаких угроз.",Dostoevsky
"Мучат бесы их проворные,.",Dostoevsky
"Очевидно, та страшная грозовая туча, которую он призывал всеми силами своей души и которая вместе с тем возбуждала в нем невольный ужас, — очевидно, туча эта приближалась..      «Поступить в военную службу и ехать в армию или дожидаться?» — в сотый раз задавал себе Пьер этот вопрос.",Tolstoy
"Ведь это ужасно, какими глупыми и подлыми они считают других!",Tolstoy
Я взглянула на них в последний раз.,Dostoevsky
"Раздается раскатистый удар, и Фекле кажется, что что-то большое, тяжелое и словно круглое катится по небу и прорывает небо над самой ее головой!.",Chekhov
"Приехав в Москву, Нехлюдов первым делом поехал в острожную больницу объявить Масловой печальное известие о том, что сенат утвердил решение суда и что надо готовиться к отъезду в Сибирь..    На орошение на высочайшее имя, которое ему написал адвокат и которое он теперь вез в острог Масловой для подписи, он имел мало надежды.",Tolstoy
"Но жизнь моя устроилась так, что я не вижу не только никакой потребности изменять свои правила, но я бы не мог жить здесь, не говорю уже жить так счастливо, как живу, ежели бы я жил по-вашему.",Tolstoy
Вольтфас (от франц.,Dostoevsky
"— А вот-с, в Санкт-Петербург отправляют!",Chekhov
Я посижу… (Садится.),Chekhov
"– сказал он вдруг, останавливаясь против меня.. – Я совсем не злюсь, – отвечал я, как всегда отвечают в подобных случаях, – а только мне досадно, что ты притворяешься и передо мной, и перед Безобедовым, и перед самим собой.. – Какой вздор!",Tolstoy
"Когда еда кончилась, господин Голядкин закурил свою трубочку, предложил другую, заведенную для приятеля, гостю, — оба уселись друг против друга, и гость начал рассказывать свои приключения.. Рассказ господина Голядкина-младшего продолжался часа три или четыре.",Dostoevsky
"Хорошо то, что она сейчас только, как видно, выпущена из какого-нибудь пансиона или института, что в ней, как говорится, нет еще ничего бабьего, то есть именно того, что у них есть самого неприятного.",Gogol
"Чичиков, точно, увидел даму, которую он совершенно было не приметил, раскланиваясь в дверях с Маниловым.",Gogol
"Право, я никуда не шла.",Gogol
"Он без ума, ну истинно без ума влюблен в вас..        .",Tolstoy
"«Или не знаешь ты, – сказал ей святой, – сколь сии младенцы пред престолом Божиим дерзновенны?",Dostoevsky
"Ах, какая прелесть!",Gogol
Добчинский.,Gogol
"При этом тосте граф вынул платок и, закрыв им лицо, совершенно расплакался..              .",Tolstoy
"– Да; впрочем, место уж теперь без сомнения будет; да и уходить ему было сегодня, кажется, незачем, – прибавила она в раздумье, – мог бы и завтра..    – Зачем же он ушел?.",Dostoevsky
"- Ну, да ведь на это что же вы хотите... Что?.",Tolstoy
"- раздвинул  он  рот  в.   самодовольнейшую улыбку..        - Потому что не я к вам имею надобность, а вы ко мне имеете надобность,.",Dostoevsky
"Должно быть, не удостоил!.",Dostoevsky
"Враг рода человеческого, вам известный, атакует пруссаков.",Tolstoy
Я с тобой апосля этого и знаться не хочу.,Chekhov
Безобразные чудища стаями скакали перед ним.,Gogol
"[предметом ухаживанья,].",Tolstoy
"Когда  я.   вошел, мне мелькнуло, что мать тотчас  же  и  быстро  прервала  нить  своего.",Dostoevsky
Март?,Chekhov
"— Нет, после когда-нибудь»..      За завтраком Пьер сообщил княжне, что он был вчера у княжны Марьи и застал там, — можете себе представить кого?",Tolstoy
И аптекарша спит.,Chekhov
"Одною из сотни причин для непременного и скорейшего его отъезда, выставленных Натальей Васильевной, была и та, что ей показалось, будто она беременна; а потому и естественно, что ему надо непременно и сейчас же скрыться хоть месяца на три или на четыре, чтобы через девять месяцев мужу труднее было в чем-нибудь усумниться, если б и вышла потом какая-нибудь клевета.",Dostoevsky
Тузенбах.,Chekhov
"Боже мой, боже мой!.",Chekhov
"И из лесу выбежала маленькая девочка, лет пяти, с белой, как лен, головкой и в голубом платье.",Chekhov
"— вскрикнула Марья Константиновна, заметив, что Надежда Федоровна хочет говорить.",Chekhov
Голова остановился.,Gogol
"Так, человек был, как и все, порядочный, разумеется, как и все люди порядочные, и, может быть, имел там кое-какие и даже довольно значительные достоинства, — одним словом, был сам по себе человек.",Dostoevsky
— кричал с парома приземистый казак.. — С какою?.,Gogol
"Но когда же он, чёрт длинный, ставится?».",Chekhov
Маша сильно рыдает..       Вершинин.,Chekhov
"Вы не примадонна, а прачка!",Chekhov
Семь же.,Tolstoy
"Он антихрист, богоотступник!",Gogol
Вечерние сумерки.,Chekhov
"– Бобров, Свиньин, Канапатьев, Харпакин, Трепакин, Плешаков.. – Богатые люди или нет?.",Gogol
"Ну, посмотрим, что там такое в этих домах?",Dostoevsky
Никакого сочувствия!.,Chekhov
"Он всегда отвечал мне с готовностью и прямодушно, но  в  конце  концов.",Dostoevsky
Вот дай тебе я ручку поцелую!.,Dostoevsky
"- спросил Нехлюдов, сам не зная чему, тоже улыбаясь.. .",Tolstoy
Что-то тяжелое и неприятное как бы уязвило князя.,Dostoevsky
"Раз я поклялся графу не бывать у него, мог ли я жертвовать своим самолюбием, гордостью?",Chekhov
{62}.,Tolstoy
"О, тонкая штука!",Gogol
"А кстати, я ведь думал, что отец наверно с Рогожиным уедет.",Dostoevsky
"Конечно, ничего.. – По крайней мере, пусть будут мои два хода.. – Не хочу, я сам плохо играю.. – Знаем мы вас, как вы плохо играете!",Gogol
"Эти необузданные желания порой приводили в отчаяние всю усадьбу, но выражала она их с таким изяществом, что ей в конце концов всё прощалось и всё позволялось, как богине или жене Цезаря.",Chekhov
"Я его вычитал где-то в вашей же современной литературе..     – Ну, так то был сумасшедший, а вы...,.",Dostoevsky
"– Хоть он и погиб, но он счастлив!",Dostoevsky
"впрочем, не такая уж трусиха, не подумайте; но от этого письма я ту ночь  не.",Dostoevsky
"Иногда плохое содержание, иногда частые наказания голодом, иногда многие потребности, возбуждающиеся в свежем, здоровом, крепком юноше, — все это, соединившись, рождало в них ту предприимчивость, которая после развивалась на Запорожье.",Gogol
"– А смею ли спросить, в какие места изволите ехать?",Gogol
- Век не буду!,Tolstoy
59. .,Gogol
"Когда Иван прочел «документ», то встал убежденный.",Dostoevsky
"Восторг перешел все пределы: вопили, хлопали в ладоши, даже иные из дам кричали: «Довольно!",Dostoevsky
"Хочешь, не хочешь, бога ради выручай.",Chekhov
"- Неприятеля, кажется, было немного, - сказал я ему, желая узнать его мнение о бывшем деле.. .",Tolstoy
"Кудрявый болезненный мальчик, с своими блестящими глазами, сидел никем из замечаемый в уголку, и, только поворачивая кудрявую голову на тонкой шее, выходившей из отложных воротничков, в ту сторону, где был Пьер, он изредка вздрагивал и что-то шептал сам с собою, видимо испытывая какое-то новое и сильное чувство..       Разговор вертелся на той современной сплетне из высшего управления, в которой большинство людей видит обыкновенно самый важный интерес внутренней политики.",Tolstoy
"Пурпурное сукно альбанского ее наряда вспыхивает, как ищерь, тронутое солнцем.",Gogol
Это была старшая.,Chekhov
Напишу-ку я обо всем в Петербург к Тряпичкину: он пописывает статейки — пусть-ка он их общелкает хорошенько.,Gogol
"Яд, брошенный Поповым в бутылку с водкой, принадлежал к сильно действующим: не успели друзья выпить по другой, как уже бездыханные лежали на шпалах... Через час над ними c карканьем носились вороны.. Мораль: когда актеры со слезами на глазах говорят о своих дорогих товарищах, о дружбе и взаимной «солидарности», когда они обнимают и целуют вас, то не очень увлекайтесь.. 1. первый любовник (франц.)",Chekhov
Староста бросил ложку и побежал к Илье.,Tolstoy
уже долгий срок отдалился бы даже самый  первый  период  успеха.,Dostoevsky
Отношение Достоевского к этому роману и его персонажу было резко отрицательным.,Dostoevsky
"Украшать же себя для того, чтобы нравиться другим, — может быть, теперь это и было бы приятно ей, — она не знала, — но было совершенно некогда.",Tolstoy
"стрелять не стреляет, а ружье держит!",Gogol
"Забрал себе Петро все добро и стал жить, как паша.",Gogol
"178, строка 33..     Вместо: спросил, кто она и оценил ее красоту.",Tolstoy
"— спросил Пьер..      — Это такая бестия, везде пролезет!",Tolstoy
"Понятно после того, что дело чрезвычайно ускорялось, и рыцарь действительно мог истреблять, в несколько часов, целые армии этих злых арапов и других чудовищ….",Dostoevsky
"Именно, когда представитель всех полковников-брандеров, наиприятнейший во всех поверхностных разговорах обо всем, Варвар Николаич Вишнепокромов приехал к нему затем именно, чтобы наговориться вдоволь, коснувшись и политики, и философии, и литературы, и морали, и даже состоянья финансов в Англии, он выслал сказать, что его нет дома, и в то же время имел неосторожность показаться перед окошком.",Gogol
"А ну, гайда, хлопцы, в гости к католикам!.",Gogol
"Европа, по крайней мере в высших представителях своей мысли, отвергает Христа, мы же, как известно, обязаны подражать Европе.. Есть исторические моменты в жизни людей, в которые явное, нахальное, грубейшее злодейство может считаться лишь величием души, лишь благородным мужеством человечества, вырывающегося из оков.",Dostoevsky
Корней поздоровался с.   ним.,Tolstoy
"А покамест он одел его получше, на свой счет, и повел к некоторым известным лицам, от которых зависело то место, которое он хотел достать для него.",Dostoevsky
"– Чудеса завелись, – говорил один из них.",Gogol
"- спрашивал я; но ямщик не отвечал мне, а, отвернув лицо в сторону от ветра, который сек ему глаза, отошел от саней.. .",Tolstoy
"Вы думаете: «Положим, его не надо бить, зато задушить его можно подушкой, или мокрою тряпкою во сне, – даже должно…» У вас на лице написано, что вы это думаете, в эту самую секунду.. – Никогда я этого не думал!",Dostoevsky
Пустите руки!,Chekhov
"Он был еще жив, честь и слава нашего войска, старый Конашевич!",Gogol
"Как трогательно прекрасны были ее бледное лицо, тонкая шея, тонкие руки, ее слабость, праздность, ее книги!",Chekhov
Платок потеряли!.,Tolstoy
Я теперь сильнее тебя - знаешь ты это?.,Dostoevsky
Неужели ехать в город из-за этого?,Tolstoy
– Мне просить государя!,Tolstoy
"В руках он держал шляпу, тоже с галунами и с зелеными перьями, а при бедре имел лакейский меч в кожаных ножнах.. Наконец, для полноты картины, Петрушка, следуя любимому своему обыкновению ходить всегда в неглиже, по-домашнему, был и теперь босиком.",Dostoevsky
"Да и кто купит, не зная меня по имени?",Gogol
"Что ж, откажет   не беда,   сказал капитан,   тут-то лошади, по правде, и не нужно, а все попытать можно, я спрошу нынче..      Как!",Tolstoy
Ведь я вроде сумасшедшего.,Tolstoy
"— Здравствуйте, Никифор Анисимыч!.",Chekhov
Он добрый и честный малый.... — А как тебе нравится ее папенька?,Chekhov
"Отказаться как-то неучтиво, ну и ешь; с отвращением, а ешь.... Черт знает что такое!",Gogol
«Живая жизнь».,Dostoevsky
"— Чем ни быть, лишь бы на душе было покойно, Сергей Петрович.. — А у этой хорошенькой Оленьки покойно на душе?.",Chekhov
"Но она осеклась; на другом конце стола явился уже другой конкурент, и все взоры обратились к нему.",Dostoevsky
"разглаживая бакены, и сказал тоном гурмана, привыкшего чувствовать себя в ресторанах как дома:.",Chekhov
"Когда же я вспоминал, куда я еду, я говорил себе: ""Тогда видно будет, не думай"".",Tolstoy
"— Два года назад тому, в Киеве.. — Два года назад, в Киеве!",Gogol
"Я  слышал,  что  с.   дворовыми девушками это иногда случалось во времена  крепостного  права,  да.",Dostoevsky
"Ей бы такую любовь, которая захватила бы все ее существо, всю душу, разум, дала бы ей мысли, направление жизни, согрела бы ее стареющую кровь.",Chekhov
Войдите!,Chekhov
— Дьяк?,Gogol
"Братья мои масоны клянутся кровью в том, что они всем готовы жертвовать для ближнего, а не платят по одному рублю на сборы для бедных и интригуют Астрея против Ищущих Манны, и хлопочут о настоящем шотландском ковре и об акте, смысла которого не знает и тот, кто писал его, и которого никому не нужно.",Tolstoy
"В том и трагедия, что я знаю это наверно.",Dostoevsky
"пусть же после нас живут лучше, чем мы, и красуется вечно любимая Христом Русская земля!» И вылетела молодая душа.",Gogol
"И бился, пока вынесли..      – Стой!",Dostoevsky
С крыши другого дома висело вниз на веревочной петле вытянувшееся и иссохшее тело.,Gogol
"Этак не ходят, по три шашки вдруг.. – Отчего ж по три?",Gogol
"«Я как будто навязываюсь, — подумал он, — а это глупо».",Chekhov
Что за вздор!.,Chekhov
"Например, крот.",Chekhov
"Может быть, и в самом деле попробую вставить в роман.. .",Dostoevsky
"Видя, наконец, что время даром проходит, решился – будет ли слушать нечистое племя или нет – рассказать дело.",Gogol
Я только смотрел на нее и ничего не думал.. .,Tolstoy
"Ее ведут все гурьбой, и через какие-нибудь пять минут мамина постель представляет собой любопытное зрелище.",Chekhov
"— удивился я.. — Точно так, ваше благородие... Вчерась ночью приехали... Письмо вот извольте-с.... — Опять черти принесли!",Chekhov
"Вы никого не оскорбляете, и вас все ненавидят; вы смотрите всем ровней, и вас все боятся, это хорошо.",Dostoevsky
Это  был.,Tolstoy
"— говорил старый Тарас, — ей-ей, будет добрый полковник, да еще такой, что и батьку за пояс заткнет!.",Gogol
"Признаюсь, все эти праздники и фейерверки становятся несносны..        .",Tolstoy
"Наступала неприятная минута, тоскливая минута, которая иногда долго длилась.",Dostoevsky
"Слесарша, здешняя мещанка, Февронья Петрова Пошлепкина, отец мой… .",Gogol
"На узкой, мрачной лестнице, где было написано «ход в амфитеатр», она остановилась.. – Как вы меня испугали!",Chekhov
"помощнику у Андроникова, авось, дескать, он что знает.",Dostoevsky
Что?...,Dostoevsky
Хлестаков (храбрясь).,Gogol
"Еще меньше может счесть себя виноватым острожный доктор, свидетельствовавший арестантов.",Tolstoy
(Тихо.),Chekhov
Знаю я ее!,Chekhov
"И если поработаю три года для себя, не торопясь, не на продажу, я зашибу их всех, и могу быть славным художником""..    Так говорил он заодно с подсказывавшим ему рассудком; но извнутри раздавался другой голос, слышнее и звонче.",Gogol
"Он заставлял ее ходить на задних лапах, изображал из нее колокол, то есть сильно дергал ее за хвост, отчего она визжала и лаяла, давал ей нюхать табаку… Особенно мучителен был следующий фокус: Федюшка привязывал на ниточку кусочек мяса и давал его Каштанке, потом же, когда она проглатывала, он с громким смехом вытаскивал его обратно из ее желудка.",Chekhov
"Вы, право, мало изменились на вид, хоть я вас видел только ребенком, лет десяти или одиннадцати вы были.",Dostoevsky
"Право,  так.",Dostoevsky
"Нет чтобы написать что-нибудь полезное,.",Dostoevsky
"Он летел домой, чтобы, одевшись, оттуда идти прямо к генералу, описать ему самыми разительными красками буйство немецких ремесленников.",Gogol
"вдруг вскрикнул он, и, сложив руки, он стал молиться.",Tolstoy
"— Да, похожа и не похожа.",Tolstoy
"у купца, который именуется ростовщиком-с...  потому  что  деньги  есть  тоже.",Dostoevsky
"Он только завтра уедет, – мягко и убедительно заметил Эркель.",Dostoevsky
"Отворяется дверь, осторожно входит Любовь Андреевна..       Любовь Андреевна.",Chekhov
"Гость говорил, очевидно увлекаясь своим красноречием, все более и более возвышая голос и насмешливо поглядывая на хозяина; но ему не удалось докончить: Иван вдруг схватил со стола стакан и с размаху пустил в оратора..      – Ah, mais c’est bête enfin!",Dostoevsky
"сапогах,  перебегала быстрыми ногами то на ту,  то на другую сторону-дороги,.",Tolstoy
…подозвав к себе Бертье… — Маршал Луи Бертье (1753–1815) в 1812–1814 гг.,Tolstoy
"К вам, мой дорогой!.",Chekhov
"""Садись,   сказал Алеша, а у меня вся душа изныла, как заслышала я голос его.",Dostoevsky
А куда я пойду?,Chekhov
"Мне хотелось ободрить, успокоить ее, хоть бы только взглядом; сказать ей что-нибудь мельком, украдкой.",Dostoevsky
Экой ты смешной какой!,Gogol
"Но на обычном месте все, покуда могла достать рука, все было переломано, черемуха, орешень, даже молодой кленок в кол толщиною.",Tolstoy
Она так страстно раскаивается.,Tolstoy
Знаете ли (фр.)..,Dostoevsky
"Часа два бился он с Кузьмой, но последний не сообщил ему ничего нового; сказал, что в полусне видел барина, что барин вытер о его полы руки и выбранил его «пьяной сволочью», но кто был этот барин, какие у него были лицо и одежда, он не сказал.. — Да ты сколько коньяку выпил?.",Chekhov
Купцы (подносят ему на серебряном подносе деньги.),Gogol
В немного времени он совершенно успел очаровать их.,Gogol
"Ваш вопрос до дела не относится, а все, что до дела не относится, есть моя частная жизнь!",Dostoevsky
По стаканчику на прощанье.,Chekhov
Все трое были приятно ошеломлены.,Chekhov
"Это всё, чем я могу в главном пункте показать непокорность и новую страшную свободу мою.",Dostoevsky
Осип.,Gogol
"Савка махнул рукой — не кричите, мол — и исчез в потемках.",Chekhov
"прелестной женщины, столь же умной, сколько прекрасной..        .",Tolstoy
"Помните, в тот вечер у вас, в последний вечер,  два.",Dostoevsky
"Чем, однако, мог возбудить столь любопытства, ибо живу в обстановке, невозможной для гостеприимства..      – Я пришел… по тому самому делу….",Dostoevsky
"И-и, как страшно!.",Chekhov
"Ударил третий звонок..     – Ну, Эркель, – торопливо и с занятым видом протянул в последний раз руку уже из окна вагона Петр Степанович, – я ведь вот сажусь с ними играть..     – Но зачем же объяснять мне, Петр Степанович, я ведь пойму, я всё пойму, Петр Степанович!.",Dostoevsky
Извольте... Убил я под влиянием аффекта.,Chekhov
Очень почтительным и самым тонким образом.,Gogol
"— сказала Оленька, слегка краснея.. — Вы, барышня, говорите загадками.... — Да разве вы не слышали?",Chekhov
"В городе холостяки нарочно ходят в баню и в рестораны, чтобы только поговорить, и иногда рассказывают банщикам или официантам очень интересные истории, в деревне же обыкновенно они изливают душу перед своими гостями.",Chekhov
"Другой раз я проследил его до самой его квартиры и за гривенник узнал у дворника, где он живет, в каком этаже, один или с кем-нибудь и т. д.",Dostoevsky
68 г.: проходившего.,Tolstoy
— Тоже ушла.. — Отчего же не доложили?,Chekhov
Иван Иваныч прошелся в волнении из угла в угол и повторил:.,Chekhov
"– Коробочка, коллежская секретарша.. – Покорнейше благодарю.",Gogol
"Прямой ряд, уходя под чепчик, разделял русые, чрезвычайно плоские напомаженные волосы, и было что-то сухое, мертвенное в белизне кожи этого просторного ряда.",Tolstoy
"Черевик вместо ответа надул щеки и начал болтать руками, подражая барабанному бою.",Gogol
"— Нет, нет!",Chekhov
"Так рождается духовное согласие, единение главных героев, близких к автору, — залог человеческого добра, национального возрождения.",Tolstoy
"Сначала заговорили о пользе образования вообще, потом же незаметно перешли к образовательному цензу служащей братии, причем было высказано много сожалений, упреков и даже насмешек по поводу низкого уровня.",Chekhov
"Переходя через улицу и размахивая в вытянутой руке зажженную тряпку, она встречает Марьянку, которая кланяется ей.. .",Tolstoy
"— с той поры не было ни одной ночи, чтоб я спал спокойно, не было дня, чтоб я не заливал водкой этой... слабости глупой, не бранил себя за глупость... Бывало, гляжу на нее в окно, любуюсь и... волосы рву у себя на голове... В пору бы вешаться... Но, слава богу... рискнул, сделал предложение, и точно, знаете ли, меня обухом!",Chekhov
"Если же видеть цель медицины в том, что лекарства облегчают страдания, то невольно напрашивается вопрос: зачем их облегчать?",Chekhov
И нравственно я очень боюсь за него.,Tolstoy
"Белые стены, белые кресты на могилах, белые березы и черные тени и далекая луна на небе, стоявшая как раз над монастырем, казалось теперь жили своей особой жизнью, непонятной, но близкой человеку.",Chekhov
Утром генерал опять послал за доктором.. — Пускай рвет!,Chekhov
— Сколько миль?.,Tolstoy
Имел честь сопровождать вас и принимать лично во вверенных моему смотрению богоугодных заведениях.,Gogol
"Сгорел только один квартал, а ведь был ветер, вначале казалось, что горит весь город.",Chekhov
"По-видимому, господин Голядкин-младший принимал крайнее участие в разговоре, который подслушивал теперь благородным образом, кивал головою, семенил ножками, улыбался, поминутно взглядывал на его превосходительство, как будто бы умолял взором, чтоб и ему тоже позволили ввернуть свои полсловечка.",Dostoevsky
Хлестаков.,Gogol
Когда в час веселый откроешь ты губки.,Dostoevsky
"Да возьми же меня, возьми меня!» — с умиленным нетерпением в душе говорила Наташа, не крестясь, опустив свои тонкие руки и как будто ожидая, что вот-вот невидимая сила возьмет ее и избавит от себя, от своих сожалений, желаний, укоров, надежд и пороков..      Графиня несколько раз во время службы оглядывалась на умиленное, с блестящими глазами, лицо своей дочери и молилась богу о том, чтобы он помог ей..      Неожиданно, в середине и не в порядке службы, который Наташа хорошо знала, дьячок вынес скамеечку, ту самую, на которой читались коленопреклоненные молитвы в троицын день, и поставил ее перед царскими дверьми.",Tolstoy
"Она была бледна, задыхалась, и дрожь ее дыхания сообщалась и рукам, и губам, и голове, и из прически выбивался на лоб не один локон, как всегда, а два... Видимо она избегала глядеть прямо в глаза и, стараясь замаскировать волнение, то поправляла воротничок, который как будто резал ей шею, то перетаскивала свой красный платок с одного плеча на другое.... — Вам, кажется, холодно, — сказал Огнев.",Chekhov
"Несчастный целые семь лет до того удовлетворялся одними мечтами о будущей славе своей, что даже не заметил, как потерял самое первоначальное в нашем искусстве, как утратил даже самый первоначальный механизм дела.",Dostoevsky
"— Я был адвокатом, — сказал мировой, — а совесть имел.. Предположенский и Козоедов переглянулись и ехидно улыбнулись.. — Я не про вас говорю... Я вообще... Вообще все мошенники... И газетчики, и адвокаты, и все.... Я, вместо того чтобы молчать, продолжал заступаться за газетчиков.",Chekhov
"Увидав Нехлюдова, солдат оставил самовар, снял с Нехлюдова кожан и вошел во внутреннюю горницу..      Пришел, ваше благородие..      Ну, зови,   послышался сердитый голос..      В дверь ходите,   сказал солдат и тотчас же опять взялся за самовар.",Tolstoy
– думал он.,Chekhov
Я не в состоянии отказать человеку на основании одних только предположений.. — И превосходно.,Chekhov
(Он сердился.).,Dostoevsky
